-2966.29,-1151.12,-520.65,-264.446,-141.438,-70.9807,-21.7276,21.72764,70.98065,141.4381,264.446,520.6505,1151.123,2966.292
-1747.75,-1117.55,-667.033,-395.695,-230.326,-120.757,-37.6575,37.65753,120.7569,230.3258,395.6953,667.0333,1117.547,1747.755
-1159.42,-904.279,-634.24,-420.976,-263.413,-144.064,-45.8032,45.80315,144.0635,263.4128,420.9763,634.2401,904.2789,1159.424
-826.238,-705.904,-544.672,-390.557,-258.286,-146.281,-47.2947,47.2947,146.2813,258.2857,390.5567,544.672,705.9043,826.2385
-613.387,-548.428,-447.987,-338.293,-232.892,-135.481,-44.3891,44.38908,135.4811,232.892,338.293,447.9869,548.4277,613.3872
-465.495,-426.432,-360.555,-281.736,-199.508,-118.362,-39.1696,39.16959,118.3622,199.5081,281.7362,360.555,426.4323,465.4954
-356.667,-331.251,-286.065,-228.589,-165.042,-99.2899,-33.0966,33.09665,99.28995,165.0421,228.5887,286.0646,331.2513,356.6666
-273.253,-255.842,-223.863,-181.512,-132.782,-80.6588,-27.0237,27.02371,80.65881,132.7817,181.512,223.8635,255.8415,273.2532
-207.252,-194.998,-172.036,-140.814,-103.914,-63.5399,-21.3631,21.3631,63.53988,103.9139,140.8139,172.0358,194.998,207.2516
-153.504,-144.863,-128.468,-105.794,-78.5202,-48.2237,-16.2519,16.2519,48.22367,78.52022,105.7941,128.4676,144.8632,153.5035
-108.396,-102.484,-91.1775,-75.3746,-56.1492,-34.5827,-11.6727,11.67274,34.58268,56.14918,75.37458,91.17754,102.4836,108.3958
-69.2004,-65.4977,-58.3844,-48.3775,-36.1192,-22.2851,-7.52912,7.52912,22.28514,36.11924,48.3775,58.38435,65.4977,69.20039
-33.7076,-31.9225,-28.4847,-23.6318,-17.6651,-10.9095,-3.68772,3.687724,10.9095,17.66514,23.63183,28.48467,31.9225,33.70763
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
