0.0,0.224786,0.4465886,0.6625295,0.8699289,1.066378,1.249785,1.418395,1.570785,1.705841,1.82272,1.920806,1.999668,2.059017,2.09867,2.118521,2.118521,2.09867,2.059017,1.999668,1.920806,1.82272,1.705841,1.570785,1.418395,1.249785,1.066378,0.8699289,0.6625295,0.4465886,0.224786,0.0
0.0,0.1990853,0.3956368,0.5871992,0.7714658,0.9463354,1.109951,1.260718,1.397309,1.518649,1.62389,1.712388,1.783665,1.837381,1.873307,1.891303,1.891303,1.873307,1.837381,1.783665,1.712388,1.62389,1.518649,1.397309,1.260718,1.109951,0.9463354,0.7714658,0.5871992,0.3956368,0.1990853,0.0
0.0,0.1759183,0.3496742,0.5191647,0.6823998,0.8375473,0.9829648,1.117218,1.239085,1.347554,1.441804,1.521192,1.585223,1.633534,1.665873,1.682081,1.682081,1.665873,1.633534,1.585223,1.521192,1.441804,1.347554,1.239085,1.117218,0.9829648,0.8375473,0.6823998,0.5191647,0.3496742,0.1759183,0.0
0.0,0.1549137,0.3079772,0.4573855,0.6014213,0.7384893,0.8671434,0.9861029,1.09426,1.190677,1.274582,1.345352,1.4025,1.44566,1.474571,1.489067,1.489067,1.474571,1.44566,1.4025,1.345352,1.274582,1.190677,1.09426,0.9861029,0.8671434,0.7384893,0.6014213,0.4573855,0.3079772,0.1549137,0.0
0.0,0.1357594,0.2699352,0.400979,0.5274105,0.6478452,0.7610167,0.8657908,0.9611737,1.046313,1.120495,1.183134,1.233765,1.272034,1.297684,1.310549,1.310549,1.297684,1.272034,1.233765,1.183134,1.120495,1.046313,0.9611737,0.8657908,0.7610167,0.6478452,0.5274105,0.400979,0.2699352,0.1357594,0.0
0.0,0.1181887,0.2350252,0.3491848,0.4593964,0.5644644,0.6632872,0.7548698,0.8383311,0.9129073,0.9779501,1.032923,1.077393,1.111027,1.133581,1.144897,1.144897,1.133581,1.111027,1.077393,1.032923,0.9779501,0.9129073,0.8383311,0.7548698,0.6632872,0.5644644,0.4593964,0.3491848,0.2350252,0.1181887,0.0
0.0,0.1019702,0.202792,0.3013387,0.3965258,0.4873288,0.5727981,0.65207,0.7243736,0.7890348,0.8454759,0.893214,0.9318571,0.9610994,0.9807164,0.9905613,0.9905613,0.9807164,0.9610994,0.9318571,0.893214,0.8454759,0.7890348,0.7243736,0.65207,0.5727981,0.4873288,0.3965258,0.3013387,0.202792,0.1019702,0.0
0.0,0.08690002,0.1728338,0.2568522,0.3380393,0.4155269,0.4885065,0.5562384,0.6180587,0.6733823,0.7217045,0.7626004,0.7957222,0.8207972,0.837624,0.8460702,0.8460702,0.837624,0.8207972,0.7957222,0.7626004,0.7217045,0.6733823,0.6180587,0.5562384,0.4885065,0.4155269,0.3380393,0.2568522,0.1728338,0.08690002,0.0
0.0,0.0727961,0.144791,0.215197,0.2832524,0.3482331,0.4094624,0.4663185,0.5182404,0.5647311,0.6053596,0.6397607,0.6676342,0.6887431,0.7029121,0.7100254,0.7100254,0.7029121,0.6887431,0.6676342,0.6397607,0.6053596,0.5647311,0.5182404,0.4663185,0.4094624,0.3482331,0.2832524,0.215197,0.144791,0.0727961,0.0
0.0,0.05949336,0.1183372,0.1758925,0.2315402,0.2846907,0.3347914,0.3813328,0.4238532,0.4619422,0.4952422,0.5234487,0.5463106,0.563629,0.575256,0.5810938,0.5810938,0.575256,0.563629,0.5463106,0.5234487,0.4952422,0.4619422,0.4238532,0.3813328,0.3347914,0.2846907,0.2315402,0.1758925,0.1183372,0.05949336,0.0
0.0,0.0468401,0.09317202,0.1384954,0.1823251,0.2241982,0.2636798,0.300368,0.3338975,0.3639425,0.3902181,0.4124813,0.4305306,0.4442062,0.453389,0.4580001,0.4580001,0.453389,0.4442062,0.4305306,0.4124813,0.3902181,0.3639425,0.3338975,0.300368,0.2636798,0.2241982,0.1823251,0.1384954,0.09317202,0.0468401,0.0
0.0,0.03469504,0.06901539,0.102592,0.1350666,0.1660972,0.1953616,0.2225618,0.2474262,0.2697121,0.2892066,0.3057277,0.3191243,0.3292763,0.3360938,0.3395175,0.3395175,0.3360938,0.3292763,0.3191243,0.3057277,0.2892066,0.2697121,0.2474262,0.2225618,0.1953616,0.1660972,0.1350666,0.102592,0.06901539,0.03469504,0.0
0.0,0.02292466,0.04560253,0.06779044,0.08925228,0.1097623,0.1291077,0.1470914,0.1635335,0.178273,0.1911684,0.2020985,0.2109627,0.2176807,0.2221926,0.2244584,0.2244584,0.2221926,0.2176807,0.2109627,0.2020985,0.1911684,0.178273,0.1635335,0.1470914,0.1291077,0.1097623,0.08925228,0.06779044,0.04560253,0.02292466,0.0
0.0,0.01140108,0.02267964,0.03371497,0.04438979,0.05459191,0.06421557,0.07316263,0.08134354,0.08867799,0.09509542,0.1005353,0.1049473,0.1082913,0.1105373,0.1116652,0.1116652,0.1105373,0.1082913,0.1049473,0.1005353,0.09509542,0.08867799,0.08134354,0.07316263,0.06421557,0.05459191,0.04438979,0.03371497,0.02267964,0.01140108,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
