-3451.7,-1124.23,-880.688,-392.05,-143.991,-89.6114,202.3266,-358.816,-107.787,42.24356,-122.636,-27.7691,22.4963,80.07825,207.9635,-64.1619,88.6953,209.4875,402.4083,843.0711,1184.659,3480.012
-2043.38,-1287.57,-883.426,-543.521,-318.912,-192.172,-89.9226,-182.147,-114.575,-49.8215,-55.8001,-10.9366,37.67603,89.85325,142.1094,120.5218,209.4555,346.8465,557.0746,886.7799,1313.988,2067.878
-1390.86,-1099.25,-821.924,-579.695,-395.965,-270.241,-187.698,-165.273,-118.546,-71.1542,-39.8062,2.146887,49.29114,99.54932,150.099,194.6843,281.7585,411.3685,592.2636,832.9857,1116.637,1409.634
-1029.96,-896.64,-725.325,-557.371,-415.011,-305.129,-225.357,-172.701,-123.183,-76.4425,-34.4175,10.03919,57.79231,108.954,164.0528,226.358,311.5257,424.6052,567.6257,736.2624,909.9397,1044.386
-802.387,-732.02,-625.367,-509.452,-401.58,-309.908,-235.899,-176.99,-125.042,-77.0154,-31.4604,14.63502,62.88496,114.4214,170.8004,235.169,313.3812,407.9008,517.3717,634.4986,742.4733,813.5849
-645.179,-603.685,-534.671,-453.489,-371.95,-297.024,-231.342,-174.316,-122.982,-75.1164,-29.0436,17.0763,64.69116,115.0461,169.5584,230.1365,298.9294,376.245,459.4617,541.887,611.8701,653.8952
-529.464,-502.869,-456.145,-397.881,-335.709,-274.894,-218.128,-165.951,-117.452,-71.4251,-26.6738,18.02261,63.75727,111.5135,162.2506,216.8891,275.9549,338.6881,402.3431,461.7175,509.2249,536.2308
-440.344,-422.183,-389.158,-346.182,-298.11,-248.716,-200.325,-153.909,-109.45,-66.458,-24.2492,17.93068,60.80177,105.0001,151.0415,199.2143,249.313,300.2094,349.5052,393.415,427.0812,445.5721
-369.386,-356.36,-332.123,-299.579,-261.833,-221.535,-180.548,-139.908,-99.9813,-60.7077,-21.7958,17.14759,56.51903,96.64365,137.7009,179.6136,221.8735,263.3311,302.0534,335.3561,360.1129,373.4044
-311.453,-301.747,-283.396,-258.176,-228.108,-195.044,-160.423,-125.194,-89.8595,-54.5956,-19.374,15.93646,51.48312,87.35453,123.5051,159.6655,195.2364,229.1882,260.0211,285.843,304.6099,314.5281
-263.227,-255.78,-241.537,-221.623,-197.379,-170.108,-140.908,-110.586,-79.6668,-48.4413,-17.041,14.48915,46.12245,77.78628,109.2993,140.3069,170.2184,198.1643,222.9998,243.3849,257.9556,265.5701
-222.447,-216.609,-205.348,-189.401,-169.676,-147.103,-122.513,-96.5755,-69.7804,-42.4617,-14.8379,12.93869,40.73124,68.36883,95.59907,122.0442,147.1661,170.2509,190.4288,206.7412,218.2574,224.2267
-187.506,-182.861,-173.845,-160.955,-144.822,-126.115,-105.467,-83.4223,-60.4174,-36.7872,-12.7876,11.37229,35.49498,59.35872,82.68393,105.1048,126.1508,145.2443,161.7235,174.8936,184.1061,188.8526
-157.21,-153.483,-146.217,-135.754,-122.54,-107.067,-89.8173,-71.2293,-51.6798,-31.482,-10.8976,9.843063,30.51767,50.88714,70.67312,89.5404,107.0879,122.852,136.3273,147.0038,154.4206,158.225
-130.64,-127.645,-121.786,-113.303,-102.519,-89.7964,-75.5057,-59.998,-43.5906,-26.5633,-9.16393,8.379898,25.84551,42.99905,59.581,75.29582,89.80821,102.7487,113.7298,122.3737,128.3476,131.4017
-107.066,-104.672,-99.977,-93.1537,-84.4358,-74.0938,-62.4111,-49.6663,-36.1212,-22.0167,-7.57472,6.994945,21.48542,35.68255,49.35602,62.25364,74.10052,84.60463,93.46951,100.4137,105.1944,107.6325
-85.8848,-84.0001,-80.2966,-74.8988,-67.9769,-59.7317,-50.3786,-40.1348,-29.2112,-17.8075,-6.11323,5.689173,17.41869,28.88971,39.90689,50.26221,59.7356,68.09982,75.12995,80.617,84.38389,86.30145
-66.5886,-65.1471,-62.3107,-58.1679,-52.8414,-46.4777,-39.2367,-31.2833,-22.7812,-13.8889,-4.75986,4.456284,13.61044,22.55072,31.11961,39.15271,46.47986,52.92908,58.33347,62.5405,65.42268,66.88794
-48.7339,-47.6889,-45.631,-42.6208,-38.7432,-34.1008,-28.807,-22.9807,-16.7414,-10.2071,-3.49358,3.285383,10.01607,16.58313,22.86812,28.74916,34.10204,38.80318,42.73435,45.78885,47.87839,48.9397
-31.924,-31.2439,-29.9035,-27.941,-25.4099,-22.3753,-18.91,-15.0909,-10.9964,-6.70463,-2.29273,2.16276,6.58534,10.89759,15.02057,18.87376,22.37597,25.44726,28.0119,30.00215,31.36233,32.05276
-15.7944,-15.4591,-14.7981,-13.8298,-12.5801,-11.0805,-9.36681,-7.47665,-5.44883,-3.32224,-1.13548,1.073053,3.264932,5.401335,7.442815,9.349352,11.08083,12.59798,13.86385,14.8455,15.51602,15.85626
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
