0.0,0.1556876,0.3091757,0.4583386,0.6011894,0.7359321,0.8609934,0.9750359,1.076954,1.165855,1.241032,1.301934,1.348138,1.379324,1.395262,1.395805,1.380889,1.350549,1.304926,1.244291,1.169069,1.079852,0.9774257,0.8627811,0.7371231,0.6018717,0.4586523,0.3092747,0.1557006,0.0
0.0,0.1357028,0.2695509,0.3997443,0.5245872,0.6425276,0.7521839,0.8523587,0.9420391,1.020387,1.086725,1.140513,1.181332,1.208867,1.222899,1.223294,1.21001,1.1831,1.142725,1.089165,1.022835,0.9443025,0.854295,0.7537142,0.6436384,0.5253205,0.4001779,0.2697744,0.1357927,0.0
0.0,0.1175727,0.2335806,0.3465005,0.4548876,0.5574071,0.652856,0.7401758,0.8184562,0.8869308,0.9449684,0.9920604,1.027809,1.051914,1.064172,1.064462,1.052756,1.029117,0.9937096,0.9468078,0.8888057,0.8202279,0.7417375,0.6541424,0.558396,0.455594,0.3469645,0.2338522,0.1176957,0.0
0.0,0.1010072,0.2006985,0.2977894,0.3910555,0.4793571,0.5616571,0.6370324,0.704679,0.7639113,0.8141573,0.8549517,0.8859278,0.9068105,0.9174114,0.9176261,0.907434,0.886902,0.8561886,0.815551,0.7653518,0.7060657,0.6382848,0.5627218,0.4802091,0.3916949,0.2982339,0.2009741,0.1011379,0.0
0.0,0.08575771,0.1704169,0.2529031,0.332188,0.4073088,0.4773829,0.5416177,0.5993161,0.649878,0.6927979,0.7276614,0.7541404,0.7719884,0.7810377,0.7811971,0.7724525,0.7548685,0.7285919,0.6938558,0.6509847,0.6003982,0.5426144,0.478251,0.4080238,0.3327425,0.2533022,0.1706724,0.08588175,0.0
0.0,0.07160671,0.1423083,0.211218,0.2774846,0.3403074,0.398948,0.4527393,0.5010898,0.5434866,0.5794949,0.6087557,0.6309838,0.645965,0.6535537,0.6536722,0.6463104,0.6315277,0.6094545,0.5802957,0.5443329,0.5019279,0.4535235,0.3996438,0.3408927,0.277949,0.21156,0.1425317,0.07171668,0.0
0.0,0.05836084,0.1159915,0.1721759,0.2262249,0.277488,0.3253626,0.3693016,0.4088172,0.4434839,0.4729392,0.4968826,0.5150743,0.5273342,0.53354,0.5336274,0.5275893,0.5154773,0.4974029,0.4735394,0.4441235,0.4094572,0.3699078,0.3259082,0.2779541,0.2266009,0.1724572,0.1161777,0.05845327,0.0
0.0,0.0458451,0.09112113,0.1352694,0.1777512,0.218057,0.255713,0.2902872,0.3213933,0.3486927,0.3718956,0.3907611,0.4050966,0.4147573,0.4196449,0.4197081,0.4149421,0.4053893,0.3911404,0.3723354,0.3491646,0.3218694,0.2907425,0.256127,0.2184148,0.1780431,0.1354901,0.09126851,0.04591873,0.0
0.0,0.03389844,0.0673785,0.1000291,0.1314536,0.1612757,0.189145,0.214741,0.2377763,0.257998,0.2751893,0.2891695,0.2997939,0.3069534,0.3105742,0.310618,0.3070816,0.2999974,0.2894341,0.2754973,0.2583301,0.2381133,0.2150656,0.1894425,0.1615349,0.1316668,0.1001915,0.06748757,0.03395314,0.0
0.0,0.02237016,0.04446529,0.06601509,0.08675839,0.1064472,0.1248503,0.1417556,0.1569727,0.1703336,0.1816941,0.1909338,0.197956,0.202688,0.2050806,0.2051082,0.2027689,0.1980845,0.1911012,0.1818896,0.1705451,0.1571882,0.1419642,0.1250425,0.1066156,0.08689756,0.06612161,0.04453713,0.02240628,0.0
0.0,0.0111169,0.02209743,0.03280754,0.04311762,0.05290455,0.06205335,0.07045856,0.07802523,0.08466967,0.09031983,0.09491551,0.09840842,0.1007621,0.101952,0.1019654,0.1008012,0.09847058,0.09499661,0.09041467,0.08477253,0.07813033,0.07056054,0.06214759,0.05298737,0.04318629,0.03286024,0.02213305,0.01113483,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
