-2791.11,-1089.94,-500.07,-261.907,-149.81,-88.8102,-50.6798,-23.1881,-1.81899e-12,23.18807,50.67977,88.8102,149.8098,261.9069,500.0696,1089.943,2791.111
-1658.39,-1068.59,-648.428,-397.748,-248.522,-154.751,-90.7208,-42.0725,-9.09495e-13,42.07251,90.7208,154.7512,248.5222,397.7482,648.4282,1068.592,1658.39
-1115.47,-877.607,-627.303,-432.136,-291.779,-190.952,-115.38,-54.3812,1.818989e-12,54.38119,115.3797,190.9516,291.7794,432.1357,627.3029,877.6069,1115.466
-810.402,-699.066,-551.041,-411.712,-295.508,-201.896,-125.465,-60.0725,4.547474e-13,60.07252,125.4652,201.8963,295.5081,411.7123,551.0408,699.0664,810.4024
-616.674,-557.216,-466.081,-368.165,-276.644,-195.66,-124.512,-60.4437,0.0,60.44367,124.5124,195.6601,276.6445,368.1647,466.0814,557.2157,616.6744
-482.405,-447.041,-387.904,-318.221,-247.245,-179.587,-116.481,-57.1898,-9.09495e-13,57.18981,116.4805,179.5872,247.2451,318.2205,387.9044,447.0405,482.4051
-383.5,-360.637,-320.275,-269.568,-214.528,-158.963,-104.633,-51.8351,-6.82121e-13,51.83506,104.6326,158.9631,214.5281,269.5679,320.2751,360.6369,383.5004
-307.459,-291.732,-262.991,-225.248,-182.336,-137.105,-91.2519,-45.5178,1.136868e-12,45.51781,91.25186,137.1046,182.3362,225.2481,262.9911,291.7318,307.4591
-247.145,-235.84,-214.709,-186.097,-152.464,-115.867,-77.7524,-38.9843,-2.27374e-13,38.98432,77.7524,115.8671,152.4642,186.0971,214.7093,235.8401,247.145
-198.136,-189.774,-173.909,-151.967,-125.556,-96.1473,-64.9063,-32.6671,6.82121e-13,32.66707,64.90632,96.14735,125.5562,151.9668,173.9088,189.7744,198.1359
-157.488,-151.213,-139.185,-122.305,-101.646,-78.2598,-53.0585,-26.7776,2.273737e-13,26.77763,53.05845,78.25976,101.6464,122.3053,139.1847,151.2129,157.4882
-123.116,-118.404,-109.312,-96.4232,-80.4643,-62.1869,-42.2901,-21.385,1.136868e-13,21.385,42.2901,62.18688,80.46428,96.42323,109.3117,118.4044,123.1158
-93.4548,-89.9771,-83.2345,-73.6117,-61.6006,-47.7334,-32.5301,-16.4723,0.0,16.47226,32.53007,47.73337,61.60065,73.61166,83.23449,89.97715,93.4548
-67.2715,-64.8149,-60.0375,-53.1883,-44.5933,-34.6159,-23.6246,-11.974,1.136868e-13,11.97398,23.62456,34.61588,44.59329,53.18826,60.03746,64.8149,67.27146
-43.5447,-41.9735,-38.9122,-34.5106,-28.9684,-22.5123,-15.3783,-7.7991,5.684342e-14,7.799096,15.37831,22.51231,28.96835,34.51063,38.91218,41.97354,43.54468
-21.389,-20.6224,-19.1271,-16.9737,-14.2572,-11.0867,-7.57727,-3.84409,2.575717e-14,3.844093,7.577275,11.08669,14.25719,16.97373,19.12708,20.62241,21.38903
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
