-4988.6,-1965.05,-917.958,-497.086,-301.529,-198.39,-138.083,-99.8136,-73.8802,-55.316,-41.3693,-30.4073,-21.3979,-13.6457,-6.64626,-7.27596e-12,6.646256,13.6457,21.39794,30.40727,41.36927,55.31601,73.88023,99.81362,138.0829,198.39,301.5286,497.0857,917.9578,1965.052,4988.599
-3000.74,-1953.65,-1209.69,-768.856,-510.639,-353.949,-254.128,-187.291,-140.391,-106.015,-79.7538,-58.8619,-41.5388,-26.5386,-12.9393,-1.81899e-12,12.93933,26.53858,41.53881,58.86185,79.75381,106.0145,140.3913,187.2914,254.1279,353.9486,510.6385,768.8565,1209.693,1953.653,3000.744
-2059.98,-1639.12,-1198.3,-858.009,-618.221,-452.638,-337.189,-254.833,-194.379,-148.597,-112.77,-83.7475,-59.3569,-38.0305,-18.5725,-3.63798e-12,18.57248,38.0305,59.35687,83.74752,112.7696,148.597,194.3791,254.8327,337.1887,452.638,618.2206,858.0087,1198.304,1639.123,2059.981
-1540.08,-1344.55,-1086.39,-846.654,-651.597,-501.194,-387.156,-300.472,-233.695,-181.225,-138.98,-104.002,-74.1106,-47.6541,-23.3201,9.094947e-13,23.32008,47.65406,74.11064,104.0017,138.9801,181.2247,233.6953,300.4716,387.1562,501.194,651.5969,846.6537,1086.392,1344.554,1540.075
-1215.69,-1112.62,-956.058,-790.617,-640.32,-513.385,-409.77,-326.202,-258.706,-203.626,-157.924,-119.169,-85.4299,-55.155,-27.0538,3.637979e-12,27.05379,55.15503,85.42988,119.1687,157.9244,203.6264,258.7059,326.2023,409.7703,513.3851,640.3195,790.6167,956.0579,1112.624,1215.691
-994.375,-934.192,-834.599,-719.436,-605.679,-502.257,-412.338,-335.862,-271.3,-216.651,-169.922,-129.319,-93.2852,-60.4824,-29.74,-9.09495e-13,29.74004,60.48238,93.28515,129.3189,169.9222,216.6507,271.2996,335.8615,412.3375,502.2565,605.6792,719.4359,834.5988,934.1923,994.3749
-833.241,-795.172,-728.709,-646.849,-560.705,-477.624,-401.462,-333.607,-273.98,-221.755,-175.795,-134.899,-97.9095,-63.7493,-31.424,-9.09495e-13,31.424,63.74931,97.90949,134.8993,175.795,221.7546,273.9803,333.6067,401.4617,477.6243,560.705,646.8487,728.7091,795.1718,833.241
-710.176,-684.545,-638.217,-578.545,-512.668,-446.074,-382.278,-323.123,-269.26,-220.592,-176.604,-136.574,-99.7042,-65.1814,-32.2067,-4.54747e-12,32.20666,65.18136,99.70416,136.574,176.6037,220.5923,269.2603,323.1233,382.2782,446.0738,512.6679,578.5446,638.2172,684.5449,710.1764
-612.743,-594.614,-561.07,-516.445,-465.348,-411.725,-358.454,-307.348,-259.345,-214.751,-173.453,-135.089,-99.1518,-65.0653,-32.2213,0.0,32.22128,65.06531,99.15177,135.0889,173.4534,214.7508,259.3452,307.3481,358.454,411.7249,465.3483,516.4447,561.0701,594.6141,612.7432
-533.439,-520.098,-495.004,-460.816,-420.556,-377.023,-332.465,-288.47,-246.022,-205.612,-167.37,-131.176,-96.7487,-63.7068,-31.6132,-2.72848e-12,31.61315,63.70682,96.74872,131.1764,167.3703,205.6121,246.0217,288.4699,332.4648,377.0234,420.5556,460.816,495.0044,520.0983,533.439
-467.476,-457.336,-438.033,-411.259,-379.035,-343.348,-305.912,-268.045,-230.66,-194.306,-159.239,-125.498,-92.9599,-61.4001,-30.5245,-3.18323e-12,30.52451,61.40011,92.95989,125.4976,159.2394,194.3056,230.6597,268.045,305.9119,343.3483,379.0347,411.2591,438.0331,457.3359,467.4755
-411.652,-403.737,-388.533,-367.153,-340.976,-311.423,-279.79,-247.138,-214.266,-181.711,-149.784,-118.615,-88.1931,-58.4092,-29.0848,9.094947e-13,29.0848,58.40921,88.19312,118.6147,149.7841,181.7111,214.2665,247.1385,279.7896,311.4233,340.9756,367.1529,388.5329,403.7366,411.6516
-363.743,-357.426,-345.209,-327.844,-306.292,-281.58,-254.685,-226.453,-197.557,-168.488,-139.571,-110.984,-82.7887,-54.9588,-27.4055,1.364242e-12,27.40546,54.9588,82.78867,110.984,139.5713,168.4883,197.5566,226.4528,254.6849,281.5796,306.2916,327.8439,345.2089,357.4261,363.7427
-322.15,-317.016,-307.033,-292.722,-274.767,-253.919,-230.917,-206.431,-181.019,-155.114,-129.029,-102.962,-77.0187,-51.2318,-25.5783,0.0,25.57826,51.23185,77.01872,102.9615,129.0286,155.1142,181.0187,206.4312,230.9174,253.9187,274.7671,292.7224,307.0328,317.0163,322.1504
-285.692,-281.456,-273.183,-261.246,-246.136,-228.411,-208.635,-187.336,-164.973,-141.921,-118.467,-94.8147,-71.0929,-47.3716,-23.6757,-4.54747e-13,23.67574,47.37161,71.09285,94.81473,118.4674,141.9212,164.9729,187.3359,208.6349,228.4107,246.1358,261.2456,273.1834,281.456,285.6921
