-3835.62,-1429.7,-453.886,-535.558,-139.269,296.9187,-480.548,-238.778,-29.0338,218.0046,-301.015,-87.2751,11.33432,128.1215,-46.9951,116.3333,386.2546,-233.518,51.25382,235.9737,523.8221,529.371,1460.32,3853.483
-2264.66,-1429.29,-826.849,-572.515,-318.437,-145.633,-271.348,-201.391,-95.3616,-18.6362,-114.085,-59.4202,4.490956,59.86532,55.84617,126.0737,197.3594,93.26332,202.5596,368.8189,597.5219,865.7643,1458.424,2287.631
-1529.07,-1195.94,-851.711,-609.217,-416.329,-289.667,-257.819,-200.076,-132.386,-83.1032,-77.2673,-40.8122,6.18442,51.0027,84.44077,134.7558,183.8461,206.6523,296.9023,439.2205,631.6823,877.7404,1219.981,1550.984
-1126.61,-973.688,-774.842,-596.311,-447.997,-338.888,-270.184,-208.709,-151.002,-104.124,-71.0693,-32.7458,10.05625,53.52027,96.15842,144.6627,196.6168,252.5974,339.1768,459.4783,612.2464,793.5343,992.7742,1145.342
-877.061,-797.368,-677.658,-553.187,-440.459,-347.706,-275.319,-213.574,-158.788,-111.321,-70.1404,-29.1578,13.26607,56.86373,102.0099,151.1197,205.3612,267.9437,347.7291,447.2697,564.2907,691.3762,812.2396,892.2679
-707.211,-661.064,-585.235,-498.319,-412.946,-336.158,-269.811,-211.48,-159.257,-112.231,-69.0139,-27.0109,15.30206,58.65864,103.898,152.4449,205.7645,266.087,336.5263,417.5808,506.2706,595.4401,672.5403,719.2218
-583.506,-554.443,-503.897,-441.91,-376.849,-314.168,-256.288,-203.278,-154.528,-109.331,-66.6737,-25.1741,16.29443,58.57079,102.4784,148.9974,199.165,254.1135,314.7082,380.2564,447.7708,511.5734,563.2595,592.8573
-488.866,-469.305,-434.001,-388.574,-338.371,-287.376,-237.896,-190.816,-146.245,-103.893,-63.1755,-23.3061,16.47895,56.85167,98.44756,141.9011,187.7846,236.4939,287.9367,340.9659,392.9827,439.8232,476.0671,496.0905
-413.785,-399.909,-374.229,-340.015,-300.685,-259.07,-217.102,-175.847,-135.743,-96.8196,-58.8296,-21.3539,16.07581,53.90939,92.55903,132.375,173.5784,216.1406,259.5787,302.688,343.3709,378.6695,405.0953,419.3471
-352.581,-342.319,-322.989,-296.572,-265.283,-231.116,-195.597,-159.726,-124.059,-88.8134,-53.9695,-19.3555,15.26877,50.15106,85.50413,121.4616,158.0132,194.9116,231.5496,266.8362,299.1435,326.3886,346.2974,356.8555
-301.639,-293.797,-278.836,-258.002,-232.759,-204.516,-174.443,-143.402,-111.953,-80.4057,-48.8794,-17.3674,14.20371,45.92192,77.84483,109.9541,142.1012,173.9429,204.8719,233.9639,259.9782,281.4441,296.8501,304.9221
-258.54,-252.392,-240.556,-223.84,-203.235,-179.744,-154.258,-127.486,-99.9462,-71.9767,-43.775,-15.4385,12.99157,41.4881,69.99919,98.40865,126.4946,153.8871,180.0312,204.1693,225.3615,242.5594,254.7368,261.0607
-221.588,-216.677,-207.156,-193.568,-176.598,-156.968,-135.357,-112.339,-88.3687,-63.78,-38.8054,-13.603,11.71292,37.03972,62.25519,87.18673,111.5815,135.0796,157.1964,177.3205,194.739,208.6952,218.4769,223.5231
-189.547,-185.571,-177.823,-166.678,-152.619,-136.175,-117.862,-98.1441,-77.4095,-55.9691,-34.0638,-11.881,10.42339,32.70267,54.79513,76.50162,97.56488,117.6535,136.3543,153.1772,167.579,179.0056,186.9525,191.0319
-161.481,-158.236,-151.889,-142.702,-131.025,-117.25,-101.773,-84.9657,-67.1562,-48.6233,-29.5995,-10.2808,9.159028,28.55243,47.72104,66.45973,84.52291,101.6154,117.39,131.4552,143.394,152.7956,159.2958,162.6199
-136.661,-134.005,-128.793,-121.216,-111.529,-100.026,-87.0142,-72.7897,-57.6264,-41.7683,-25.43,-8.80169,7.941085,24.62696,41.07689,57.09335,72.45166,86.89507,100.1352,111.8594,121.7461,129.4871,134.8151,137.532
-114.498,-112.328,-108.062,-101.839,-93.8486,-84.3124,-73.468,-61.5524,-48.7913,-35.3937,-21.5504,-7.43711,6.780042,20.93745,34.86621,48.3851,61.2953,73.37804,84.39629,94.10127,102.244,108.5916,112.9456,115.161
-94.5041,-92.7479,-89.2894,-84.2309,-77.7138,-69.9067,-60.9931,-51.1606,-40.5928,-29.4646,-17.9407,-6.17642,5.678738,17.47658,29.06541,40.28556,50.9664,60.92551,69.97066,77.90529,84.53712,89.6896,93.21473,95.00542
