-4997.24,-1973.77,-926.811,-506.154,-310.893,-208.138,-148.313,-110.638,-85.4284,-67.7394,-54.8478,-45.1572,-37.6826,-31.7893,-27.0541,-23.1853,-19.977,-17.2799,-14.9839,-13.0063,-11.2835,-9.76626,-8.41556,-7.20018,-6.09468,-5.07805,-4.1326,-3.2432,-2.39661,-1.58101,-0.785548,-9.09495e-12,0.7855477,1.581012,2.396614,3.2432,4.132601,5.078048,6.094682,7.200179,8.415563,9.766261,11.28351,13.00629,14.98393,17.27986,19.97696,23.18535,27.05412,31.78935,37.68255,45.15724,54.84781,67.73937,85.42835,110.6381,148.3131,208.138,310.8928,506.1543,926.8111,1973.765,4997.242
-3017.96,-1971.01,-1227.32,-786.913,-529.279,-373.346,-274.476,-208.811,-163.336,-130.681,-106.495,-88.0986,-73.7836,-62.4207,-53.2418,-45.7103,-39.4426,-34.1586,-29.6496,-25.7577,-22.3615,-19.366,-16.6958,-14.2905,-12.1005,-10.0849,-8.20916,-6.44359,-4.76224,-3.14189,-1.56118,-1.81899e-12,1.561179,3.141887,4.762244,6.443586,8.209155,10.08491,12.1005,14.29047,16.69581,19.36597,22.36151,25.75772,29.64956,34.15855,39.44263,45.71031,53.24179,62.42071,73.78362,88.09859,106.4946,130.6813,163.336,208.8109,274.4763,373.3461,529.279,786.9134,1227.325,1971.007,3017.961
-2085.63,-1664.98,-1224.57,-884.896,-645.964,-481.491,-367.435,-286.793,-228.423,-185.155,-152.351,-126.959,-106.933,-90.8681,-77.782,-66.9715,-57.9247,-50.2622,-43.698,-38.0135,-33.0388,-28.6403,-24.7112,-21.1654,-17.9319,-14.9519,-12.1755,-9.55974,-7.06689,-4.66311,-2.31728,5.456968e-12,2.31728,4.663112,7.06689,9.559744,12.17552,14.95194,17.93194,21.16539,24.71124,28.64029,33.03883,38.01351,43.69803,50.26217,57.92469,66.97149,77.782,90.8681,106.9326,126.9589,152.3507,185.1554,228.4232,286.7933,367.435,481.491,645.9635,884.8957,1224.567,1664.978,2085.635
-1573.96,-1378.7,-1121.07,-882.139,-688.189,-539.22,-426.979,-342.504,-278.408,-229.166,-190.794,-160.454,-136.12,-116.337,-100.047,-86.469,-75.0225,-65.2674,-56.8669,-49.5595,-43.14,-37.4451,-32.3435,-27.7279,-23.5099,-19.6154,-15.9813,-12.553,-9.28246,-6.12639,-3.04483,1.818989e-12,3.04483,6.12639,9.28246,12.55298,15.98125,19.61539,23.50992,27.72791,32.34348,37.44513,43.13999,49.55949,56.86686,65.26741,75.02248,86.46895,100.0466,116.3371,136.1199,160.4536,190.7941,229.1662,278.4084,342.504,426.9794,539.2195,688.1885,882.1385,1121.07,1378.704,1573.965
-1257.56,-1154.8,-998.87,-834.4,-685.432,-560.219,-458.759,-377.835,-313.54,-262.307,-221.206,-187.941,-160.756,-138.314,-119.598,-103.835,-90.4289,-78.9181,-68.9425,-60.2176,-52.5165,-45.6568,-39.4896,-33.8928,-28.7644,-24.0184,-19.5811,-15.3884,-11.3836,-7.51516,-3.73565,-3.63798e-12,3.735651,7.515159,11.38358,15.38845,19.58113,24.01843,28.76445,33.89285,39.48964,45.65675,52.51652,60.21758,68.94253,78.91813,90.42887,103.8352,119.5984,138.3137,160.7562,187.9415,221.2058,262.3071,313.54,377.8348,458.7592,560.2191,685.4325,834.4,998.8705,1154.802,1257.555
-1043.9,-984.077,-885.21,-771.158,-658.922,-557.465,-470.003,-396.536,-335.61,-285.316,-243.78,-209.35,-180.65,-156.563,-136.198,-118.845,-103.94,-91.0337,-79.7675,-69.8518,-61.0518,-53.1757,-46.0655,-39.5894,-33.6366,-28.1128,-22.9364,-18.0361,-13.3483,-8.81501,-4.38261,-1.81899e-12,4.382614,8.81501,13.34827,18.03611,22.93639,28.11276,33.6366,39.58938,46.06549,53.17572,61.05177,69.85178,79.76755,91.03371,103.9396,118.8447,136.198,156.5632,180.6499,209.3503,243.7804,285.3165,335.6097,396.5362,470.0034,557.4651,658.9223,771.1584,885.2104,984.077,1043.9
-890.068,-852.396,-786.736,-706.101,-621.633,-540.716,-467.253,-402.697,-347.046,-299.569,-259.249,-225.029,-195.93,-171.091,-149.786,-131.406,-115.451,-101.51,-89.2422,-78.3702,-68.663,-59.9289,-52.0072,-44.7626,-38.0798,-31.8596,-26.0156,-20.4713,-15.1584,-10.014,-4.97979,0.0,4.979795,10.014,15.15836,20.47133,26.01556,31.8596,38.07981,44.76261,52.0072,59.92887,68.66305,78.37022,89.24217,101.5095,115.4513,131.406,149.7856,171.0913,195.9298,225.0295,259.2489,299.5687,347.046,402.6969,467.2531,540.7158,621.6332,706.101,786.7357,852.3958,890.068
-773.908,-748.703,-703.236,-644.877,-580.794,-516.512,-455.596,-399.952,-350.309,-306.664,-268.617,-235.589,-206.949,-182.087,-160.447,-141.542,-124.95,-110.311,-97.3214,-85.7239,-75.3013,-65.8695,-57.2718,-49.374,-42.0604,-35.2303,-28.7949,-22.6753,-16.7999,-11.1028,-5.52256,-1.81899e-12,5.522563,11.10284,16.79985,22.67528,28.79492,35.23029,42.06044,49.37403,57.27182,65.86953,75.30133,85.7239,97.32136,110.311,124.9499,141.5423,160.4473,182.0865,206.9486,235.5889,268.6171,306.6635,350.3086,399.9524,455.5963,516.5118,580.7937,644.8765,703.2356,748.7026,773.9081
-682.954,-665.271,-632.628,-589.376,-540.153,-488.941,-438.668,-391.208,-347.573,-308.16,-272.967,-241.76,-214.189,-189.859,-168.375,-149.366,-132.495,-117.463,-104.008,-91.9027,-80.9488,-70.9761,-61.8365,-53.4013,-45.5576,-38.2062,-31.2586,-24.635,-18.2629,-12.0749,-6.00762,2.728484e-12,6.007619,12.07494,18.26292,24.63501,31.25855,38.2062,45.55761,53.40126,61.83652,70.97611,80.94883,91.90267,104.0084,117.4632,132.495,149.3659,168.3748,189.8588,214.1892,241.7604,272.967,308.1597,347.5726,391.2076,438.6681,488.9412,540.1532,589.3759,632.6276,665.2707,682.9537
-609.682,-596.799,-572.628,-539.846,-501.502,-460.432,-418.927,-378.637,-340.614,-305.436,-273.331,-244.297,-218.189,-194.785,-173.827,-155.051,-138.201,-123.039,-109.346,-96.9296,-85.6152,-75.2496,-65.6969,-56.8369,-48.5626,-40.7783,-33.3981,-26.3433,-19.5419,-12.9264,-6.43297,6.366463e-12,6.432967,12.9264,19.54188,26.34331,33.39807,40.77835,48.56256,56.83687,65.69689,75.24957,85.6152,96.92959,109.3463,123.0385,138.2012,155.0513,173.8273,194.7849,218.1889,244.2966,273.3306,305.4358,340.6145,378.6371,418.9274,460.4318,501.502,539.8463,572.6282,596.799,609.6823
