-2158.97,-835.128,-374.798,-186.907,-95.4247,-41.0623,-9.09495e-13,41.06225,95.4247,186.9075,374.7975,835.1278,2158.967
-1266.77,-806.747,-477.155,-277.408,-153.729,-68.8243,0.0,68.8243,153.7291,277.4076,477.1548,806.7468,1266.773
-834.604,-647.932,-449.667,-291.839,-173.26,-80.5059,0.0,80.50587,173.2597,291.8392,449.6672,647.932,834.6044
-589.108,-500.71,-381.743,-267.022,-166.965,-79.9395,-2.27374e-13,79.93946,166.9648,267.0223,381.7427,500.7098,589.1084
-432.011,-384.056,-309.571,-227.542,-147.638,-72.2872,-2.27374e-13,72.2872,147.6376,227.5425,309.5714,384.056,432.011
-322.869,-293.932,-244.945,-185.939,-123.756,-61.5718,2.273737e-13,61.57175,123.7559,185.9386,244.9446,293.9318,322.8687
-242.663,-223.858,-190.337,-147.512,-99.8755,-50.2439,4.547474e-13,50.24394,99.87551,147.5115,190.3366,223.8579,242.6632
-181.263,-168.5,-145.032,-113.895,-77.9907,-39.5285,6.102269e-14,39.52849,77.99072,113.8953,145.0325,168.4999,181.2631
-132.626,-123.846,-107.398,-85.0467,-58.6635,-29.8793,1.136868e-13,29.87931,58.66354,85.04666,107.398,123.8461,132.6261
-92.7691,-86.8605,-75.6669,-60.2297,-41.7374,-21.3252,-2.84217e-13,21.32522,41.73745,60.22974,75.66688,86.86048,92.76909
-58.8207,-55.1598,-48.1793,-38.468,-26.7313,-13.6841,5.684342e-14,13.68412,26.7313,38.46796,48.17927,55.15982,58.8207
-28.5332,-26.7789,-23.4224,-18.7315,-13.0357,-6.67995,6.217249e-15,6.679953,13.03569,18.73151,23.42241,26.77885,28.53318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
