-2317.42,-899.314,-406.758,-206.598,-110.499,-55.4536,-16.9747,16.97472,55.45363,110.4985,206.5984,406.7582,899.3145,2317.416
-1365.43,-873.084,-521.12,-309.137,-179.942,-94.3413,-29.4199,29.41995,94.34131,179.942,309.137,521.1198,873.0839,1365.433
-905.8,-706.468,-495.5,-328.888,-205.791,-112.55,-35.7837,35.78371,112.5496,205.7913,328.8877,495.5001,706.4679,905.8
-645.499,-551.488,-425.525,-305.122,-201.786,-114.282,-36.949,36.94898,114.2822,201.7857,305.1224,425.525,551.4877,645.4988
-479.209,-428.459,-349.99,-264.291,-181.947,-105.845,-34.679,34.67897,105.8446,181.9469,264.2914,349.9898,428.4591,479.2087
-363.668,-333.15,-281.684,-220.106,-155.866,-92.4705,-30.6012,30.60124,92.47047,155.8657,220.1064,281.6836,333.1503,363.6683
-278.646,-258.79,-223.488,-178.585,-128.939,-77.5703,-25.8568,25.85676,77.57027,128.9392,178.5849,223.488,258.7901,278.6458
-213.479,-199.876,-174.893,-141.806,-103.736,-63.0147,-21.1123,21.11228,63.0147,103.7357,141.8062,174.8933,199.8762,213.4791
-161.915,-152.342,-134.403,-110.011,-81.1828,-49.6405,-16.6899,16.68992,49.64053,81.18276,110.0109,134.4029,152.3422,161.9153
-119.925,-113.174,-100.365,-82.6516,-61.3439,-37.6747,-12.6968,12.6968,37.67474,61.34392,82.65164,100.3654,113.1744,119.9246
-84.6842,-80.0653,-71.2324,-58.8864,-43.8665,-27.0177,-9.11933,9.119329,27.01772,43.86655,58.88639,71.23245,80.06529,84.68424
-54.0628,-51.1701,-45.6128,-37.7949,-28.2182,-17.4103,-5.88213,5.882125,17.41026,28.21816,37.79492,45.61277,51.17008,54.0628
-26.3341,-24.9395,-22.2536,-18.4624,-13.8009,-8.52305,-2.88103,2.881034,8.523047,13.80089,18.46237,22.25365,24.93945,26.33409
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
